"Localidad";"Mes";"Año";"Produccion_mensual_M3"
"Ushuaia";1;"1991";431069
"Ushuaia";2;"1991";383405
"Ushuaia";3;"1991";433314
"Ushuaia";4;"1991";418154
"Ushuaia";5;"1991";445189
"Ushuaia";6;"1991";456536
"Ushuaia";7;"1991";468074
"Ushuaia";8;"1991";489926
"Ushuaia";9;"1991";458714
"Ushuaia";10;"1991";464459
"Ushuaia";11;"1991";455534
"Ushuaia";12;"1991";517610
"Rio Grande";1;"1991";-9
"Rio Grande";2;"1991";-9
"Rio Grande";3;"1991";-9
"Rio Grande";4;"1991";-9
"Rio Grande";5;"1991";-9
"Rio Grande";6;"1991";-9
"Rio Grande";7;"1991";-9
"Rio Grande";8;"1991";-9
"Rio Grande";9;"1991";-9
"Rio Grande";10;"1991";-9
"Rio Grande";11;"1991";-9
"Rio Grande";12;"1991";-9
"Ushuaia";1;"1992";523428
"Ushuaia";2;"1992";450784
"Ushuaia";3;"1992";534422
"Ushuaia";4;"1992";520447
"Ushuaia";5;"1992";549654
"Ushuaia";6;"1992";528172
"Ushuaia";7;"1992";506954
"Ushuaia";8;"1992";529578
"Ushuaia";9;"1992";525173
"Ushuaia";10;"1992";556457
"Ushuaia";11;"1992";505241
"Ushuaia";12;"1992";557429
"Rio Grande";1;"1992";-9
"Rio Grande";2;"1992";-9
"Rio Grande";3;"1992";-9
"Rio Grande";4;"1992";-9
"Rio Grande";5;"1992";-9
"Rio Grande";6;"1992";-9
"Rio Grande";7;"1992";-9
"Rio Grande";8;"1992";-9
"Rio Grande";9;"1992";-9
"Rio Grande";10;"1992";-9
"Rio Grande";11;"1992";-9
"Rio Grande";12;"1992";-9
"Ushuaia";1;"1993";549305
"Ushuaia";2;"1993";513072
"Ushuaia";3;"1993";587102
"Ushuaia";4;"1993";544717
"Ushuaia";5;"1993";593849
"Ushuaia";6;"1993";525152
"Ushuaia";7;"1993";559868
"Ushuaia";8;"1993";559090
"Ushuaia";9;"1993";533005
"Ushuaia";10;"1993";553907
"Ushuaia";11;"1993";548999
"Ushuaia";12;"1993";586815
"Rio Grande";1;"1993";533780
"Rio Grande";2;"1993";459973
"Rio Grande";3;"1993";512917
"Rio Grande";4;"1993";470815
"Rio Grande";5;"1993";511135
"Rio Grande";6;"1993";600300
"Rio Grande";7;"1993";597209
"Rio Grande";8;"1993";566250
"Rio Grande";9;"1993";532600
"Rio Grande";10;"1993";550421
"Rio Grande";11;"1993";515772
"Rio Grande";12;"1993";539397
"Ushuaia";1;"1994";596788
"Ushuaia";2;"1994";535736
"Ushuaia";3;"1994";606072
"Ushuaia";4;"1994";581174
"Ushuaia";5;"1994";587707
"Ushuaia";6;"1994";639632
"Ushuaia";7;"1994";660430
"Ushuaia";8;"1994";693459
"Ushuaia";9;"1994";632839
"Ushuaia";10;"1994";667843
"Ushuaia";11;"1994";648613
"Ushuaia";12;"1994";667617
"Rio Grande";1;"1994";487170
"Rio Grande";2;"1994";443860
"Rio Grande";3;"1994";514786
"Rio Grande";4;"1994";496812
"Rio Grande";5;"1994";535591
"Rio Grande";6;"1994";560376
"Rio Grande";7;"1994";570289
"Rio Grande";8;"1994";552006
"Rio Grande";9;"1994";519476
"Rio Grande";10;"1994";530896
"Rio Grande";11;"1994";516396
"Rio Grande";12;"1994";554070
"Ushuaia";1;"1995";675952
"Ushuaia";2;"1995";625571
"Ushuaia";3;"1995";676996
"Ushuaia";4;"1995";631145
"Ushuaia";5;"1995";648215
"Ushuaia";6;"1995";642467
"Ushuaia";7;"1995";731914
"Ushuaia";8;"1995";724950
"Ushuaia";9;"1995";715515
"Ushuaia";10;"1995";731796
"Ushuaia";11;"1995";694507
"Ushuaia";12;"1995";717377
"Rio Grande";1;"1995";498710
"Rio Grande";2;"1995";474854
"Rio Grande";3;"1995";557700
"Rio Grande";4;"1995";538077
"Rio Grande";5;"1995";534056
"Rio Grande";6;"1995";549762
"Rio Grande";7;"1995";668034
"Rio Grande";8;"1995";679020
"Rio Grande";9;"1995";631184
"Rio Grande";10;"1995";647812
"Rio Grande";11;"1995";582644
"Rio Grande";12;"1995";583095
"Ushuaia";1;"1996";747270
"Ushuaia";2;"1996";709909
"Ushuaia";3;"1996";759752
"Ushuaia";4;"1996";707569
"Ushuaia";5;"1996";762417
"Ushuaia";6;"1996";770864
"Ushuaia";7;"1996";831240
